City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,zhangye,38.9342,100.4517,21.36,71,100,6.71,CN,1691649110
339,paloncha,17.6,80.6833,32.52,60,34,3.0,IN,1691649110
340,dubbo,-32.25,148.6167,20.07,34,0,6.69,AU,1691649110
341,dompu,-8.5356,118.4622,31.75,43,28,0.4,ID,1691649111
342,tsiombe,-25.3,45.4833,20.39,65,100,5.61,MG,1691649111
343,ola,59.5833,151.2833,21.19,63,8,4.08,RU,1691649111
344,nadym,65.5333,72.5167,12.57,62,93,12.15,RU,1691649111
345,bamboo flat,11.7,92.7167,29.46,74,100,6.83,IN,1691649111
346,luderitz,-26.6481,15.1594,18.48,57,52,1.46,NA,1691649112
347,ruelle-sur-touvre,45.6833,0.2333,19.37,74,33,4.12,FR,1691649112
348,qashyr,53.0675,76.1036,25.19,41,100,2.26,KZ,1691649112
349,bayanhongor,46.7167,100.1167,21.43,33,56,2.29,MN,1691649112
350,bambanglipuro,-7.95,110.2833,26.75,63,4,6.7,ID,1691649112
351,grand rapids,42.9634,-85.6681,19.8,95,0,3.09,US,1691648969
352,chanar ladeado,-33.3252,-62.0383,13.76,78,100,5.05,AR,1691649113
353,floro,61.5996,5.0328,10.04,93,75,5.14,NO,1691649113
354,dolinsk,47.35,142.8,13.59,98,100,4.46,RU,1691649113
355,noosa heads,-26.3833,153.15,21.17,57,0,4.8,AU,1691649113
356,howrah,22.5892,88.3103,30.0,79,75,3.09,IN,1691649114
357,arraial do cabo,-22.9661,-42.0278,20.73,86,22,10.04,BR,1691649114
358,panaba,21.2833,-88.2667,25.52,87,0,3.07,MX,1691649114
359,georgetown,5.4112,100.3354,29.99,74,20,4.63,MY,1691648890
360,chortoq,41.0666,71.8553,32.97,16,0,3.2,UZ,1691649115
361,fort st. john,56.2499,-120.8529,16.94,63,75,5.14,CA,1691648944
362,severo-yeniseyskiy,60.3725,93.0408,18.43,54,100,2.84,RU,1691649115
